Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
6, 5, 168, 2.060505
6, 5, 169, 0.886547
6, 5, 169, 5.566255
6, 5, 169, 10.84927
6, 5, 169, 7.919211
6, 5, 170, 2.393021
6, 5, 170, 5.236756
6, 5, 170, 9.28964
6, 5, 170, 9.064495
6, 5, 171, 9.746481
6, 5, 171, 6.726613
6, 5, 171, 6.310876
6, 5, 171, 4.742728
6, 5, 172, 6.516394
6, 5, 172, 13.586549
6, 5, 172, 6.072521
6, 5, 172, 3.266918
6, 5, 173, 6.579525
6, 5, 173, 1.385165
6, 5, 173, 6.373245
6, 5, 173, 11.473099
6, 5, 174, 3.707424
6, 5, 174, 2.002102
6, 5, 174, 5.244498
6, 5, 174, 10.602502
6, 5, 175, 6.188289
6, 5, 175, 7.486833
6, 5, 175, 8.631477
6, 5, 175, 7.602612
6, 5, 176, 7.061333
6, 5, 176, 7.225268
6, 5, 176, 10.95527
6, 5, 176, 1.304802
6, 5, 177, 1.353615
6, 5, 177, 13.87766
6, 5, 177, 3.102653
6, 5, 177, 12.770744
6, 5, 178, 6.872519
6, 5, 178, 12.335765
6, 5, 178, 4.790092
6, 5, 178, 0.0
6, 5, 179, 5.654132
6, 5, 179, 11.735646
6, 5, 179, 4.334208
6, 5, 179, 0.485281
6, 5, 180, 8.880335
6, 5, 180, 6.232456
6, 5, 180, 10.024726
6, 5, 180, 10.783531
6, 5, 181, 6.178795
6, 5, 181, 11.89585
6, 5, 181, 0.0
6, 5, 181, 0.207205
6, 5, 182, 8.046981
6, 5, 182, 7.764971
6, 5, 182, 13.044734
6, 5, 182, 9.188355
6, 5, 183, 5.555861
6, 5, 183, 2.544907
6, 5, 183, 16.834422
6, 5, 183, 9.294678
6, 5, 184, 9.716659
6, 5, 184, 5.658499
6, 5, 184, 14.329836
6, 5, 184, 0.852513
6, 5, 185, 2.093266
6, 5, 185, 2.91512
6, 5, 185, 10.200492
6, 5, 185, 3.939687
6, 5, 186, 9.051225
6, 5, 186, 7.120855
6, 5, 186, 3.626184
6, 5, 186, 6.879578
6, 5, 187, 8.156125
6, 5, 187, 7.910627
6, 5, 187, 14.163818
6, 5, 187, 2.397529
6, 5, 188, 8.687693
6, 5, 188, 5.841619
6, 5, 188, 6.245962
6, 5, 188, 2.039172
6, 5, 189, 3.960529
6, 5, 189, 6.670221
6, 5, 189, 3.566379
6, 5, 189, 8.22468
6, 5, 190, 10.311561
6, 5, 190, 2.807001
6, 5, 190, 2.624628
6, 5, 190, 0.0
6, 5, 191, 1.816032
6, 5, 191, 0.0
6, 5, 191, 12.884925
6, 5, 191, 4.0
6, 5, 192, 4.251738
6, 5, 192, 2.171573
6, 5, 192, 12.892457
6, 5, 192, 8.058945
6, 5, 193, 11.606327
6, 5, 193, 2.910342
6, 5, 193, 6.703084
6, 5, 193, 1.972049
6, 5, 194, 10.026471
6, 5, 194, 6.975034
6, 5, 194, 1.866596
6, 5, 194, 12.856055
6, 5, 195, 7.452371
6, 5, 195, 0.552115
6, 5, 195, 1.271689
6, 5, 195, 1.465978
6, 5, 196, 3.70666
6, 5, 196, 0.115799
6, 5, 196, 5.553167
6, 5, 196, 1.472136
6, 5, 197, 3.891816
6, 5, 197, 11.961977
6, 5, 197, 13.129829
6, 5, 197, 0.0
6, 5, 198, 16.79178
6, 5, 198, 10.962105
6, 5, 198, 4.453056
6, 5, 198, 2.270593
6, 5, 199, 4.502811
6, 5, 199, 6.068257
6, 5, 199, 5.970952
6, 5, 199, 9.510621
6, 5, 200, 9.261404
6, 5, 200, 3.566368
6, 5, 200, 2.927447
6, 5, 200, 4.529575
6, 5, 201, 3.598498
6, 5, 201, 2.640064
6, 5, 201, 13.86954
6, 5, 201, 1.763932
6, 5, 202, 9.021352
6, 5, 202, 4.472136
6, 5, 202, 10.772409
6, 5, 202, 12.801874
6, 5, 203, 0.962531
6, 5, 203, 6.333851
6, 5, 203, 7.240913
6, 5, 203, 7.146018
6, 5, 204, 3.114713
6, 5, 204, 3.989394
6, 5, 204, 3.699114
6, 5, 204, 9.346516
6, 5, 205, 3.766457
6, 5, 205, 0.03421
6, 5, 205, 7.742339
6, 5, 205, 10.914886
6, 5, 206, 7.615695
6, 5, 206, 10.701631
6, 5, 206, 16.286694
6, 5, 206, 8.31437
6, 5, 207, 10.052605
6, 5, 207, 6.300563
6, 5, 207, 11.42522
6, 5, 207, 10.49989
6, 5, 208, 4.095204
6, 5, 208, 5.991699
6, 5, 208, 6.368642
6, 5, 208, 7.83898
6, 5, 209, 0.29399
6, 5, 209, 3.351831
6, 5, 209, 14.70974
6, 5, 209, 7.847084
6, 5, 210, 12.3546
6, 5, 210, 8.927937
6, 5, 210, 6.411315
6, 5, 210, 5.318145
6, 5, 211, 8.507869
6, 5, 211, 6.489421
6, 5, 211, 12.212744
6, 5, 211, 11.993588
6, 5, 212, 8.647972
6, 5, 212, 15.121454
6, 5, 212, 8.467595
6, 5, 212, 4.346104
6, 5, 213, 9.134827
6, 5, 213, 4.837722
6, 5, 213, 6.249213
6, 5, 213, 4.523439
6, 5, 214, 6.429385
6, 5, 214, 12.211752
6, 5, 214, 0.0
6, 5, 214, 3.03747
6, 5, 215, 0.0
6, 5, 215, 7.861074
6, 5, 215, 13.05671
6, 5, 215, 22.545718
6, 5, 216, 8.308164
6, 5, 216, 1.910824
6, 5, 216, 4.602325
6, 5, 216, 9.235022
6, 5, 217, 9.391175
6, 5, 217, 5.144501
6, 5, 217, 8.395107
6, 5, 217, 6.249213
6, 5, 218, 7.898737
6, 5, 218, 12.018879
6, 5, 218, 0.0
6, 5, 218, 9.181387
6, 5, 219, 10.954292
6, 5, 219, 0.587934
6, 5, 219, 0.0
6, 5, 219, 6.496187
6, 5, 220, 11.228171
6, 5, 220, 4.145547
6, 5, 220, 2.332836
6, 5, 220, 10.83417
6, 5, 221, 5.534394
6, 5, 221, 1.389248
6, 5, 221, 2.246211
6, 5, 221, 5.895562
6, 5, 222, 7.735741
6, 5, 222, 9.563434
6, 5, 222, 4.346996
6, 5, 222, 14.437802
6, 5, 223, 6.852419
6, 5, 223, 12.481042
6, 5, 223, 10.156814
6, 5, 223, 7.757321
6, 5, 224, 4.477782
6, 5, 224, 0.0
6, 5, 224, 5.177948
6, 5, 224, 6.757029
6, 5, 225, 0.0
6, 5, 225, 3.521291
6, 5, 225, 4.947298
6, 5, 225, 2.878411
6, 5, 226, 13.615773
6, 5, 226, 2.994726
6, 5, 226, 11.67021
6, 5, 226, 9.559386
6, 5, 227, 5.522139
6, 5, 227, 11.494606
6, 5, 227, 4.973823
6, 5, 227, 11.786516
6, 5, 228, 0.111628
6, 5, 228, 3.152166
6, 5, 228, 9.886706
6, 5, 228, 7.440551
6, 5, 229, 3.849541
6, 5, 229, 3.380537
6, 5, 229, 1.435138
6, 5, 229, 6.058281
6, 5, 230, 6.911315
6, 5, 230, 4.643709
6, 5, 230, 3.315673
6, 5, 230, 1.85529
6, 5, 231, 5.725752
6, 5, 231, 3.960828
6, 5, 231, 2.481922
6, 5, 231, 0.557704
6, 5, 232, 2.222887
6, 5, 232, 10.399399
6, 5, 232, 1.873857
6, 5, 232, 6.650282
6, 5, 233, 3.353289
6, 5, 233, 7.149085
6, 5, 233, 3.513505
6, 5, 233, 7.65276
6, 5, 234, 7.978408
6, 5, 234, 4.386813
6, 5, 234, 7.797427
6, 5, 234, 1.591122
6, 5, 235, 6.556396
6, 5, 235, 11.110251
6, 5, 235, 5.174098
6, 5, 235, 15.479887
6, 5, 236, 1.647216
6, 5, 236, 1.62142
6, 5, 236, 5.249375
6, 5, 236, 3.233004
6, 5, 237, 10.44805
6, 5, 237, 4.411052
6, 5, 237, 11.425773
6, 5, 237, 6.121496
6, 5, 238, 0.0
6, 5, 238, 1.260061
6, 5, 238, 11.621221
6, 5, 238, 10.918132
6, 5, 239, 0.923819
6, 5, 239, 7.144858
6, 5, 239, 8.838346
6, 5, 239, 7.050393
6, 5, 240, 10.16054
6, 5, 240, 7.317185
6, 5, 240, 13.829062
6, 5, 240, 3.82084
6, 5, 241, 0.0
6, 5, 241, 3.888274
6, 5, 241, 4.471178
6, 5, 241, 5.140685
6, 5, 242, 7.715247
6, 5, 242, 10.90202
6, 5, 242, 4.005964
6, 5, 242, 4.695711
6, 5, 243, 6.521977
6, 5, 243, 11.389113
6, 5, 243, 1.684806
6, 5, 243, 0.912721
6, 5, 244, 10.644958
6, 5, 244, 4.482259
6, 5, 244, 6.895256
6, 5, 244, 7.375859
6, 5, 245, 0.623122
6, 5, 245, 4.42685
6, 5, 245, 7.427921
6, 5, 245, 1.821855
6, 5, 246, 6.72548
6, 5, 246, 1.502849
6, 5, 246, 2.59597
6, 5, 246, 2.623165
6, 5, 247, 4.128507
6, 5, 247, 4.16038
6, 5, 247, 5.763932
6, 5, 247, 10.627138
6, 5, 248, 6.588311
